"REF_DATE","GEO","DGUID","Cannabis price","Units of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Manitoba","2016A000246","Consumer price","Price index","2012=100","383","units ","0","v1001799956","10.1.2","66.6","","","","1"
"1976","Manitoba","2016A000246","Producer price","Price per gram","Dollars","81","units ","0","v1001799991","10.2.1","4.45","","","","2"
"1976","Manitoba","2016A000246","Producer price","Price index","2012=100","383","units ","0","v1001799992","10.2.2","67.0","","","","1"
"1976","Saskatchewan","2016A000247","Consumer price","Price per gram","Dollars","81","units ","0","v1001799957","11.1.1","6.09","","","","2"
"1976","Saskatchewan","2016A000247","Consumer price","Price index","2012=100","383","units ","0","v1001799958","11.1.2","66.7","","","","1"
"1976","Saskatchewan","2016A000247","Producer price","Price per gram","Dollars","81","units ","0","v1001799993","11.2.1","4.48","","","","2"
"1976","Saskatchewan","2016A000247","Producer price","Price index","2012=100","383","units ","0","v1001799994","11.2.2","67.3","","","","1"
"1976","Alberta","2016A000248","Consumer price","Price per gram","Dollars","81","units ","0","v1001799959","12.1.1","6.05","","","","2"
"1976","Alberta","2016A000248","Consumer price","Price index","2012=100","383","units ","0","v1001799960","12.1.2","66.7","","","","1"
"1976","Alberta","2016A000248","Producer price","Price per gram","Dollars","81","units ","0","v1001799995","12.2.1","4.46","","","","2"
"1976","Alberta","2016A000248","Producer price","Price index","2012=100","383","units ","0","v1001799996","12.2.2","67.3","","","","1"
"1976","British Columbia","2016A000259","Consumer price","Price per gram","Dollars","81","units ","0","v1001799961","13.1.1","5.73","","","","2"
"1976","British Columbia","2016A000259","Consumer price","Price index","2012=100","383","units ","0","v1001799962","13.1.2","66.0","","","","1"
"1976","British Columbia","2016A000259","Producer price","Price per gram","Dollars","81","units ","0","v1001799997","13.2.1","4.04","","","","2"
"1976","British Columbia","2016A000259","Producer price","Price index","2012=100","383","units ","0","v1001799998","13.2.2","96.2","","","","1"
"1976","Territories","2016A00016","Consumer price","Price per gram","Dollars","81","units ","0","v1001799963","14.1.1","8.17","","","","2"
"1976","Territories","2016A00016","Consumer price","Price index","2012=100","383","units ","0","v1001799964","14.1.2","61.8","","","","1"
"1976","Territories","2016A00016","Producer price","Price per gram","Dollars","81","units ","0","v1001799999","14.2.1","6.07","","","","2"
"1976","Territories","2016A00016","Producer price","Price index","2012=100","383","units ","0","v1001800000","14.2.2","61.9","","","","1"
"1976","Yukon","2016A000260","Consumer price","Price per gram","Dollars","81","units ","0","v1001799965","15.1.1","7.01","","","","2"
"1976","Yukon","2016A000260","Consumer price","Price index","2012=100","383","units ","0","v1001799966","15.1.2","66.0","","","","1"
"1976","Yukon","2016A000260","Producer price","Price per gram","Dollars","81","units ","0","v1001800001","15.2.1","5.21","","","","2"
"1976","Yukon","2016A000260","Producer price","Price index","2012=100","383","units ","0","v1001800002","15.2.2","66.0","","","","1"
"1976","Northwest Territories including Nunavut","A000261","Consumer price","Price per gram","Dollars","81","units ","0","v1001799971","16.1.1","9.26","","","","2"
"1976","Northwest Territories including Nunavut","A000261","Consumer price","Price index","2012=100","383","units ","0","v1001799972","16.1.2","63.0","","","","1"
"1976","Northwest Territories including Nunavut","A000261","Producer price","Price per gram","Dollars","81","units ","0","v1001800007","16.2.1","6.89","","","","2"
"1976","Northwest Territories including Nunavut","A000261","Producer price","Price index","2012=100","383","units ","0","v1001800008","16.2.2","63.1","","","","1"
"1976","Northwest Territories","2016A000261","Consumer price","Price per gram","Dollars","81","units ","0","v1001799967","17.1.1","","..","","","2"
"1976","Northwest Territories","2016A000261","Consumer price","Price index","2012=100","383","units ","0","v1001799968","17.1.2","","..","","","1"
"1976","Northwest Territories","2016A000261","Producer price","Price per gram","Dollars","81","units ","0","v1001800003","17.2.1","","..","","","2"
"1976","Northwest Territories","2016A000261","Producer price","Price index","2012=100","383","units ","0","v1001800004","17.2.2","","..","","","1"
"1976","Nunavut","2016A000262","Consumer price","Price per gram","Dollars","81","units ","0","v1001799969","18.1.1","","..","","","2"
"1976","Nunavut","2016A000262","Consumer price","Price index","2012=100","383","units ","0","v1001799970","18.1.2","","..","","","1"
"1976","Nunavut","2016A000262","Producer price","Price per gram","Dollars","81","units ","0","v1001800005","18.2.1","","..","","","2"
"1976","Nunavut","2016A000262","Producer price","Price index","2012=100","383","units ","0","v1001800006","18.2.2","","..","","","1"
"1977","Canada","2016A000011124","Consumer price","Price per gram","Dollars","81","units ","0","v1001799937","1.1.1","5.95","","","","2"
"1977","Canada","2016A000011124","Consumer price","Price index","2012=100","383","units ","0","v1001799938","1.1.2","68.3","","","","1"
"1977","Canada","2016A000011124","Producer price","Price per gram","Dollars","81","units ","0","v1001799973","1.2.1","4.37","","","","2"
"1977","Canada","2016A000011124","Producer price","Price index","2012=100","383","units ","0","v1001799974","1.2.2","78.5","","","","1"
"1977","Atlantic","2016A00011","Consumer price","Price per gram","Dollars","81","units ","0","v1001799939","2.1.1","6.18","","","","2"
"1977","Atlantic","2016A00011","Consumer price","Price index","2012=100","383","units ","0","v1001799940","2.1.2","68.0","","","","1"
"1977","Atlantic","2016A00011","Producer price","Price per gram","Dollars","81","units ","0","v1001799975","2.2.1","4.53","","","","2"
"1977","Atlantic","2016A00011","Producer price","Price index","2012=100","383","units ","0","v1001799976","2.2.2","68.8","","","","1"
"1977","Newfoundland and Labrador","2016A000210","Consumer price","Price per gram","Dollars","81","units ","0","v1001799941","3.1.1","6.67","","","","2"
"1977","Newfoundland and Labrador","2016A000210","Consumer price","Price index","2012=100","383","units ","0","v1001799942","3.1.2","69.1","","","","1"
"1977","Newfoundland and Labrador","2016A000210","Producer price","Price per gram","Dollars","81","units ","0","v1001799977","3.2.1","4.81","","","","2"
"1977","Newfoundland and Labrador","2016A000210","Producer price","Price index","2012=100","383","units ","0","v1001799978","3.2.2","70.2","","","","1"
"1977","Prince Edward Island","2016A000211","Consumer price","Price per gram","Dollars","81","units ","0","v1001799943","4.1.1","6.55","","","","2"
"1977","Prince Edward Island","2016A000211","Consumer price","Price index","2012=100","383","units ","0","v1001799944","4.1.2","67.4","","","","1"
"1977","Prince Edward Island","2016A000211","Producer price","Price per gram","Dollars","81","units ","0","v1001799979","4.2.1","4.85","","","","2"
"1977","Prince Edward Island","2016A000211","Producer price","Price index","2012=100","383","units ","0","v1001799980","4.2.2","67.9","","","","1"
"1977","Nova Scotia","2016A000212","Consumer price","Price per gram","Dollars","81","units ","0","v1001799945","5.1.1","6.22","","","","2"
"1977","Nova Scotia","2016A000212","Consumer price","Price index","2012=100","383","units ","0","v1001799946","5.1.2","67.5","","","","1"
"1977","Nova Scotia","2016A000212","Producer price","Price per gram","Dollars","81","units ","0","v1001799981","5.2.1","4.57","","","","2"
"1977","Nova Scotia","2016A000212","Producer price","Price index","2012=100","383","units ","0","v1001799982","5.2.2","68.2","","","","1"
"1977","New Brunswick","2016A000213","Consumer price","Price per gram","Dollars","81","units ","0","v1001799947","6.1.1","5.66","","","","2"
"1977","New Brunswick","2016A000213","Consumer price","Price index","2012=100","383","units ","0","v1001799948","6.1.2","67.5","","","","1"
"1977","New Brunswick","2016A000213","Producer price","Price per gram","Dollars","81","units ","0","v1001799983","6.2.1","4.16","","","","2"
"1977","New Brunswick","2016A000213","Producer price","Price index","2012=100","383","units ","0","v1001799984","6.2.2","68.4","","","","1"
"1977","Quebec","2016A000224","Consumer price","Price per gram","Dollars","81","units ","0","v1001799949","7.1.1","5.11","","","","2"
"1977","Quebec","2016A000224","Consumer price","Price index","2012=100","383","units ","0","v1001799950","7.1.2","67.3","","","","1"
"1977","Quebec","2016A000224","Producer price","Price per gram","Dollars","81","units ","0","v1001799985","7.2.1","3.70","","","","2"
"1977","Quebec","2016A000224","Producer price","Price index","2012=100","383","units ","0","v1001799986","7.2.2","74.6","","","","1"
"1977","Ontario","2016A000235","Consumer price","Price per gram","Dollars","81","units ","0","v1001799951","8.1.1","6.27","","","","2"
"1977","Ontario","2016A000235","Consumer price","Price index","2012=100","383","units ","0","v1001799952","8.1.2","68.7","","","","1"
"1977","Ontario","2016A000235","Producer price","Price per gram","Dollars","81","units ","0","v1001799987","8.2.1","4.88","","","","2"
"1977","Ontario","2016A000235","Producer price","Price index","2012=100","383","units ","0","v1001799988","8.2.2","118.2","","","","1"
"1977","Prairies","2016A00014","Consumer price","Price per gram","Dollars","81","units ","0","v1001799953","9.1.1","6.17","","","","2"
"1977","Prairies","2016A00014","Consumer price","Price index","2012=100","383","units ","0","v1001799954","9.1.2","68.0","","","","1"
"1977","Prairies","2016A00014","Producer price","Price per gram","Dollars","81","units ","0","v1001799989","9.2.1","4.55","","","","2"
"1977","Prairies","2016A00014","Producer price","Price index","2012=100","383","units ","0","v1001799990","9.2.2","68.6","","","","1"
"1977","Manitoba","2016A000246","Consumer price","Price per gram","Dollars","81","units ","0","v1001799955","10.1.1","6.15","","","","2"
"1977","Manitoba","2016A000246","Consumer price","Price index","2012=100","383","units ","0","v1001799956","10.1.2","67.9","","","","1"
"1977","Manitoba","2016A000246","Producer price","Price per gram","Dollars","81","units ","0","v1001799991","10.2.1","4.54","","","","2"
"1977","Manitoba","2016A000246","Producer price","Price index","2012=100","383","units ","0","v1001799992","10.2.2","68.3","","","","1"
"1977","Saskatchewan","2016A000247","Consumer price","Price per gram","Dollars","81","units ","0","v1001799957","11.1.1","6.21","","","","2"
"1977","Saskatchewan","2016A000247","Consumer price","Price index","2012=100","383","units ","0","v1001799958","11.1.2","68.0","","","","1"
"1977","Saskatchewan","2016A000247","Producer price","Price per gram","Dollars","81","units ","0","v1001799993","11.2.1","4.57","","","","2"
"1977","Saskatchewan","2016A000247","Producer price","Price index","2012=100","383","units ","0","v1001799994","11.2.2","68.6","","","","1"
"1977","Alberta","2016A000248","Consumer price","Price per gram","Dollars","81","units ","0","v1001799959","12.1.1","6.16","","","","2"
"1977","Alberta","2016A000248","Consumer price","Price index","2012=100","383","units ","0","v1001799960","12.1.2","68.0","","","","1"
"1977","Alberta","2016A000248","Producer price","Price per gram","Dollars","81","units ","0","v1001799995","12.2.1","4.54","","","","2"
"1977","Alberta","2016A000248","Producer price","Price index","2012=100","383","units ","0","v1001799996","12.2.2","68.7","","","","1"
"1977","British Columbia","2016A000259","Consumer price","Price per gram","Dollars","81","units ","0","v1001799961","13.1.1","5.84","","","","2"
"1977","British Columbia","2016A000259","Consumer price","Price index","2012=100","383","units ","0","v1001799962","13.1.2","67.3","","","","1"
"1977","British Columbia","2016A000259","Producer price","Price per gram","Dollars","81","units ","0","v1001799997","13.2.1","4.05","","","","2"
"1977","British Columbia","2016A000259","Producer price","Price index","2012=100","383","units ","0","v1001799998","13.2.2","96.5","","","","1"
"1977","Territories","2016A00016","Consumer price","Price per gram","Dollars","81","units ","0","v1001799963","14.1.1","8.33","","","","2"
"1977","Territories","2016A00016","Consumer price","Price index","2012=100","383","units ","0","v1001799964","14.1.2","63.0","","","","1"
"1977","Territories","2016A00016","Producer price","Price per gram","Dollars","81","units ","0","v1001799999","14.2.1","6.20","","","","2"
"1977","Territories","2016A00016","Producer price","Price index","2012=100","383","units ","0","v1001800000","14.2.2","63.1","","","","1"
"1977","Yukon","2016A000260","Consumer price","Price per gram","Dollars","81","units ","0","v1001799965","15.1.1","7.14","","","","2"
"1977","Yukon","2016A000260","Consumer price","Price index","2012=100","383","units ","0","v1001799966","15.1.2","67.3","","","","1"
"1977","Yukon","2016A000260","Producer price","Price per gram","Dollars","81","units ","0","v1001800001","15.2.1","5.32","","","","2"
"1977","Yukon","2016A000260","Producer price","Price index","2012=100","383","units ","0","v1001800002","15.2.2","67.3","","","","1"
